Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Result;Action
NegativeReply;2013/07/04 00:00:22;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 00:30:04;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07500;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 01:00:47;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 01:30:28;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 02:00:10;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07200;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 02:30:52;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 03:00:33;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 03:30:15;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 04:00:57;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 04:30:38;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 05:00:20;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 05:30:27;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 06:00:09;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 06:30:51;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 07:00:33;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 07:30:16;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.02100;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 08:00:59;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01500;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 08:30:41;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07000;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 09:00:23;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 09:30:05;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01500;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 10:00:46;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07400;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 10:30:28;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07000;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 11:00:10;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07000;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 11:30:52;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 12:00:33;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 12:30:15;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07400;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 13:00:56;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 13:30:38;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07100;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 14:00:21;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 14:30:02;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 15:00:44;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
RoundNoReply;2013/07/04 15:30:25;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;*** No map-reply received ***
RoundNoReply;2013/07/04 16:00:07;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;*** No map-reply received ***
NegativeReply;2013/07/04 16:30:49;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07400;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 17:00:30;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 17:30:13;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 18:00:55;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07000;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 18:30:38;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07000;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
