Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Locator_Number;Locator_Addr;Locator_State;Locator_Priority;Locator_Weight
NegativeReply;2013/07/04 13:30:22;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;149.20.48.61;0.44600;0;153.16.18.176/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 14:00:11;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;149.20.48.61;0.44500;0;153.16.18.176/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 14:30:58;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;149.20.48.61;0.35900;0;153.16.18.176/28;1;0;0;"""Negative cache entry""";forward-native
RoundNormal;2013/07/04 15:00:45;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.40100;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 15:30:34;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.40700;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 16:00:23;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.39100;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 16:30:10;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.39100;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 17:00:57;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.39000;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 17:30:50;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.39000;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 18:00:39;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.39300;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 18:30:27;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.39800;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 19:00:14;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.39000;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 19:30:03;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.39400;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 20:00:53;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.39400;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 20:30:40;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.40100;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 21:00:29;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.38700;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 21:30:19;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.40100;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
RoundNormal;2013/07/04 22:00:08;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.195.58;0.39700;1;153.16.18.176/28;60;1;0;0;122.177.195.58;up;1;100
